Wavelength (nm),Transmission (%)
2255,74.1504097
2254,74.51690674
2253,74.23497391
2252,73.82926178
2251,74.02616501
2250,73.82093811
2249,74.3116951
2248,73.55202103
2247,73.6381073
2246,74.24084854
2245,73.63269425
2244,73.39234162
2243,73.50613785
2242,73.85251236
2241,73.27885056
2240,73.45989991
2239,73.28833008
2238,73.44727326
2237,73.19242477
2236,73.42091752
2235,73.50608445
2234,73.62035752
2233,73.28037644
2232,73.12822342
2231,72.80237198
2230,73.007267
2229,72.8093071
2228,72.66846848
2227,72.36855698
2226,72.23003769
2225,72.01542282
2224,72.17811585
2223,71.88158798
2222,71.26884079
2221,71.06696129
2220,70.67511749
2219,70.74516869
2218,70.90683365
2217,69.96152687
2216,70.20349884
2215,69.75371743
2214,69.86284256
2213,69.56142235
2212,69.58893204
2211,69.3364811
2210,69.96856881
2209,69.85061073
2208,70.1745224
2207,70.40057755
2206,70.73023796
2205,71.1869278
2204,71.89824295
2203,72.50771714
2202,73.32187271
2201,73.58945847
2200,74.6014328
2199,75.34082795
2198,76.48620606
2197,76.87984848
2196,77.52315903
2195,78.31045151
2194,79.17534638
2193,80.20343018
2192,80.53414917
2191,81.20806504
2190,81.75547409
2189,82.05007553
2188,82.36234665
2187,82.75963974
2186,83.27389908
2185,83.47242356
2184,83.71940613
2183,83.73936844
2182,84.23894119
2181,84.43551254
2180,84.48748398
2179,84.61169434
2178,84.7160492
2177,85.05730057
2176,85.38745499
2175,85.18382645
2174,85.19570542
2173,85.58848953
2172,85.85053253
2171,85.82125473
2170,85.61941528
2169,85.85709
2168,85.77282715
2167,85.90435791
2166,86.00674439
2165,86.02849961
2164,86.09132004
2163,86.16521454
2162,86.25692749
2161,86.54586792
2160,86.37319947
2159,86.55186081
2158,86.39414215
2157,86.50206757
2156,86.68323517
2155,86.56591034
2154,86.44285965
2153,86.63284683
2152,86.72919083
2151,86.63035965
2150,86.88900376
2149,86.75055314
2148,86.97460175
2147,86.73538208
2146,87.05439758
2145,86.83536911
2144,86.82910538
2143,87.16726303
2142,87.34283448
2141,87.21908951
2140,86.90799713
2139,87.14131165
2138,87.07827378
2137,86.85610199
2136,86.88277436
2135,87.30856705
2134,87.33908081
2133,87.33389664
2132,87.01898575
2131,87.03366852
2130,86.83501816
2129,87.25393296
2128,87.14175415
2127,87.12220383
2126,87.06209946
2125,86.7680893
2124,86.94382477
2123,86.91609955
2122,87.13138199
