Wavelength (nm),Transmission (%)
1894,79.53024
1893,80.09148
1892,80.67062
1891,81.30133
1890,81.90616
1889,82.56207
1888,83.26169
1887,83.92613
1886,84.54467
1885,85.19999
1884,85.78516
1883,86.34736
1882,86.70799
1881,87.01371
1880,87.21157
1879,87.22114
1878,87.02321
1877,86.60809
1876,86.06798
1875,85.21976
1874,84.22925
1873,83.01062
1872,81.55679
1871,80.18479
1870,78.61983
1869,77.03796
1868,75.53092
1867,74.10430
1866,72.82235
1865,71.66906
1864,70.58099
1863,69.59998
1862,68.71803
1861,67.83316
1860,67.09214
1859,66.54697
1858,66.24499
1857,66.17794
1856,66.25138
1855,66.49513
1854,66.98183
1853,67.57901
1852,68.36727
1851,69.25082
1850,70.19753
1849,71.58622
1848,73.19877
1847,74.99009
1846,76.67165
1845,78.01623
1844,79.57233
1843,81.24168
1842,82.92677
1841,84.54566
1840,85.85224
1839,86.98732
1838,87.68525
1837,88.20842
1836,88.39229
1835,88.28860
1834,87.96675
1833,87.34507
1832,86.44169
1831,85.34302
1830,84.06540
1829,82.67831
1828,81.44036
1827,80.11116
1826,78.80545
1825,77.79399
1824,76.92975
1823,76.30252
1822,75.68052
1821,75.13450
1820,74.77759
1819,74.71106
1818,74.88533
1817,75.20135
1816,75.76247
1815,76.46503
1814,77.22934
1813,78.18687
1812,79.30463
1811,80.48789
1810,81.77121
1809,83.06481
1808,84.24707
1807,85.38974
1806,86.53886
1805,87.52641
1804,88.37274
1803,88.99010
1802,89.38121
1801,89.47033
1800,89.26056
1799,88.94623
1798,88.37320
1797,87.71126
1796,86.82279
1795,85.85549
1794,84.83794
1793,83.82513
1792,82.82536
1791,81.92750
1790,81.11404
1789,80.45576
1788,79.92462
1787,79.54737
1786,79.30084
1785,79.21822
1784,79.29454
1783,79.54416
1782,79.90734
1781,80.44348
1780,81.05786
1779,81.67746
1778,82.43303
1777,83.11333
1776,83.82300
1775,84.46539
1774,84.99465
1773,85.42804
1772,85.74599
1771,85.91303
1770,85.94710
1769,85.75032
1768,85.39577
1767,84.85661
1766,84.17377
1765,83.38841
1764,82.51784
1763,81.60345
1762,80.68156
1761,79.76085
1760,78.86576
1759,78.04660
1758,77.31874
1757,76.71388
1756,76.20227
1755,75.86013
1754,75.66141
1753,75.61868
1752,75.74954
1751,75.99812
1750,76.36827
1749,76.88288
1748,77.48329
1747,78.18424
1746,78.94891
1745,79.76535
1744,80.60001
1743,81.41673
1742,82.21472
1741,82.93921
1740,83.61588
1739,84.17410
1738,84.64417
1737,85.01711
