Wavelength (nm),Transmission (%),,,,,,
2030,82.09371185,,,,,,
2029,82.15716171,,,,,,
2028,82.27277375,,,,,,
2027,82.15456009,,,,,,
2026,82.16233063,,,,,,
2025,82.15806198,,,,,,
2024,82.17109681,,,,,,
2023,82.23691559,,,,,,
2022,82.24012757,,,,,,
2021,82.21714783,,,,,,
2020,82.24310303,,,,,,
2019,82.29862595,,,,,,
2018,82.27161789,,,,,,
2017,82.21908188,,,,,,
2016,82.44758225,,,,,,
2015,82.3311081,,,,,,
2014,82.09994507,,,,,,
2013,82.37168884,,,,,,
2012,82.28168869,,,,,,
2011,82.39130402,,,,,,
2010,82.3952179,,,,,,
2009,82.33335495,,,,,,
2008,82.42975998,,,,,,
2007,82.34252167,,,,,,
2006,82.28578186,,,,,,
2005,82.4800148,,,,,,
2004,82.30056763,,,,,,
2003,82.26665115,,,,,,
2002,82.23667908,,,,,,
2001,82.3194046,,,,,,
2000,82.46792603,,,,,,
1999,82.46677018,,,,,,
1998,82.47716141,,,,,,
1997,82.4538765,,,,,,
1996,82.46652985,,,,,,
1995,82.43104935,,,,,,
1994,82.58536148,,,,,,
1993,82.42199326,,,,,,
1992,82.40879822,,,,,,
1991,82.54442597,,,,,,
1990,82.38777924,,,,,,
1989,82.3095665,,,,,,
1988,82.39522171,,,,,,
1987,82.29784393,,,,,,
1986,82.51402664,,,,,,
1985,82.41960526,,,,,,
1984,82.45746994,,,,,,
1983,82.37116623,,,,,,
1982,82.30461503,,,,,,
1981,82.39668274,,,,,,
1980,82.40728379,,,,,,
1979,82.46919632,,,,,,
1978,82.56878662,,,,,,
1977,82.4010849,,,,,,
1976,82.30575181,,,,,,
1975,82.37338257,,,,,,
1974,82.53569413,,,,,,
1973,82.43428422,,,,,,
1972,82.25632096,,,,,,
1971,82.48482895,,,,,,
1970,82.38513184,,,,,,
1969,82.51971817,,,,,,
1968,82.37462616,,,,,,
1967,82.40151978,,,,,,
1966,82.3887024,,,,,,
1965,82.37052155,,,,,,
1964,82.50260544,,,,,,
1963,82.35442734,,,,,,
1962,82.2486496,,,,,,
1961,82.34822464,,,,,,
1960,82.40515137,,,,,,
1959,82.35260773,,,,,,
1958,82.39341736,,,,,,
1957,82.27869034,,,,,,
