Wavelength (nm),SLS201L Power (a.u.),
365.2,0.07234407,
365.41,0.072672922,
365.63,0.073178744,
365.84,0.07375949,
366.05,0.074360238,
366.27,0.074728417,
366.48,0.075338658,
366.69,0.075768878,
366.91,0.076360811,
367.12,0.076342165,
367.34,0.077003599,
367.55,0.077889126,
367.76,0.078176278,
367.98,0.078638366,
368.19,0.079061128,
368.4,0.079393031,
368.62,0.079639162,
368.83,0.079986999,
369.04,0.080539267,
369.26,0.080946772,
369.47,0.081296644,
369.69,0.082142506,
369.9,0.08274461,
370.11,0.083489443,
370.33,0.08395899,
370.54,0.084360054,
370.75,0.084642799,
370.97,0.085206933,
371.18,0.085551719,
371.39,0.086108394,
371.61,0.086728467,
371.82,0.087081051,
372.04,0.087738077,
372.25,0.088417139,
372.46,0.089066707,
372.68,0.089374201,
372.89,0.089837645,
373.1,0.09046043,
373.32,0.090927942,
373.53,0.091329684,
373.74,0.091925686,
373.96,0.092556268,
374.17,0.093070905,
374.38,0.093803872,
374.6,0.094107298,
374.81,0.09472737,
375.02,0.095374226,
375.24,0.095641037,
375.45,0.096841177,
375.66,0.097589061,
375.88,0.098171842,
376.09,0.099006516,
376.3,0.099833053,
376.52,0.100439565,
376.73,0.101235929,
376.94,0.102027209,
377.16,0.102765261,
377.37,0.103240232,
377.58,0.103988455,
377.8,0.104778717,
378.01,0.105241822,
378.22,0.10588461,
378.44,0.106574182,
378.65,0.107230191,
378.86,0.107545143,
379.08,0.108001129,
379.29,0.108733757,
379.5,0.109305688,
379.72,0.109812867,
379.93,0.109976275,
380.14,0.110782133,
380.36,0.111154719,
380.57,0.11180632,
380.78,0.112173143,
380.99,0.1125559,
381.21,0.113261406,
381.42,0.113893684,
381.63,0.114492398,
381.85,0.11507111,
382.06,0.115761699,
382.27,0.116007152,
382.49,0.116671297,
382.7,0.117335443,
382.91,0.117899238,
383.13,0.118286402,
383.34,0.118726453,
383.55,0.119522818,
383.76,0.120041184,
383.98,0.120666342,
384.19,0.121504406,
384.4,0.122007516,
384.62,0.122619791,
384.83,0.123402255,
385.04,0.124033516,
385.26,0.124864122,
385.47,0.125427238,
385.68,0.125928992,
385.89,0.126563643,
386.11,0.127131506,
386.32,0.127838368,
386.53,0.128379449,
386.75,0.129115806,
386.96,0.129968109,
387.17,0.130848552,
387.38,0.131697804,
387.6,0.132162604,
387.81,0.132783355,
388.02,0.13343021,
388.24,0.134225218,
388.45,0.134936827,
388.66,0.135395525,
388.87,0.136193246,
389.09,0.13695164,
389.3,0.137562559,
389.51,0.138528434,
389.73,0.139639412,
389.94,0.140467306,
390.15,0.141067376,
390.36,0.141770848,
390.58,0.142546871,
390.79,0.142904201,
391,0.14360564,
391.21,0.144155873,
391.43,0.144703734,
391.64,0.145298041,
391.85,0.146011345,
392.07,0.146721598,
392.28,0.147218944,
392.49,0.147869529,
392.7,0.148338058,
392.92,0.149239859,
393.13,0.149886036,
393.34,0.150503058,
393.55,0.151132962,
393.77,0.152038831,
393.98,0.152791801,
394.19,0.153466117,
394.4,0.154147892,
394.62,0.154881537,
394.83,0.155566702,
395.04,0.156206438,
395.25,0.156799389,
395.47,0.157256052,
395.68,0.157800523,
395.89,0.158372454,
396.1,0.15888743,
396.32,0.159831269,
396.53,0.160163173,
396.74,0.160600851,
396.95,0.161353821,
397.17,0.161908462,
397.38,0.162458018,
397.59,0.163057749,
397.8,0.163697485,
398.02,0.164301285,
398.23,0.164977635,
398.44,0.165425484,
398.65,0.166159808,
398.87,0.166946001,
399.08,0.167761351,
399.29,0.168394307,
399.5,0.168957084,
399.71,0.169584616,
399.93,0.170209435,
400.14,0.171032582,
400.35,0.17172724,
400.56,0.172326293,
400.78,0.172845337,
400.99,0.173479648,
401.2,0.173934278,
401.41,0.174793361,
401.63,0.175237142,
401.84,0.175793818,
402.05,0.176298623,
402.26,0.176919373,
402.47,0.17727433,
402.69,0.177942544,
402.9,0.178596519,
403.11,0.179179638,
403.32,0.179751909,
403.53,0.180331638,
403.75,0.180916791,
403.96,0.181381252,
404.17,0.182150834,
404.38,0.182839389,
404.6,0.18324147,
404.81,0.1840775,
405.02,0.184570778,
405.23,0.18500744,
405.44,0.1855414,
405.66,0.185871948,
405.87,0.186536093,
406.08,0.187108703,
406.29,0.187770136,
406.5,0.188332236,
406.72,0.18885806,
406.93,0.189418465,
407.14,0.190032774,
407.35,0.190715566,
407.56,0.191313941,
407.78,0.191740093,
407.99,0.192023516,
408.2,0.192382202,
408.41,0.192729361,
408.62,0.193261288,
408.84,0.193953912,
409.05,0.194578053,
409.26,0.195094384,
409.47,0.195468665,
409.68,0.195894817,
409.89,0.19633792,
410.11,0.197069531,
410.32,0.19765604,
410.53,0.198018795,
410.74,0.198456812,
410.95,0.198763967,
411.17,0.199399295,
411.38,0.199858671,
411.59,0.200364493,
411.8,0.200960834,
412.01,0.201466656,
412.22,0.202023332,
412.44,0.202509829,
412.65,0.203069217,
412.86,0.203411291,
413.07,0.203923554,
413.28,0.204627027,
413.49,0.205065383,
413.71,0.205542727,
413.92,0.206179412,
414.13,0.206628278,
414.34,0.206961876,
414.55,0.207490074,
414.76,0.207628734,
414.98,0.208191173,
415.19,0.208556639,
415.4,0.20909772,
415.61,0.209523532,
415.82,0.2096805,
416.03,0.210259212,
416.25,0.210598913,
416.46,0.211029133,
416.67,0.211496984,
416.88,0.212135703,
417.09,0.212587281,
417.3,0.212961223,
417.52,0.213436194,
417.73,0.213960663,
417.94,0.214315958,
418.15,0.214768554,
418.36,0.215134359,
418.57,0.215546272,
418.78,0.215917163,
419,0.21624093,
419.21,0.216511131,
419.42,0.217143069,
419.63,0.217554643,
419.84,0.217898412,
420.05,0.218160816,
420.26,0.218538487,
420.48,0.219003287,
420.69,0.219458595,
420.9,0.219835588,
421.11,0.220169526,
421.32,0.220459051,
421.53,0.220735355,
421.74,0.221227616,
421.95,0.221675126,
422.17,0.222055848,
422.38,0.222389447,
422.59,0.222844754,
422.8,0.223149536,
423.01,0.223478388,
423.22,0.223691294,
423.43,0.224197116,
423.64,0.224534105,
423.86,0.224847362,
424.07,0.225063997,
424.28,0.225478283,
424.49,0.226007837,
424.7,0.226399408,
424.91,0.226681814,
425.12,0.227050671,
425.33,0.227349011,
425.55,0.227616839,
425.76,0.22785585,
425.97,0.228279628,
426.18,0.228747819,
426.39,0.229079722,
426.6,0.229380774,
426.81,0.229408574,
427.02,0.22980896,
427.23,0.230032037,
427.45,0.230433101,
427.66,0.230855862,
427.87,0.231272521,
428.08,0.231503735,
428.29,0.231537976,
428.5,0.231955313,
428.71,0.232143132,
428.92,0.23243503,
429.13,0.232678788,
429.34,0.233017811,
429.56,0.233342933,
429.77,0.233536176,
429.98,0.233868758,
430.19,0.234155571,
430.4,0.234405431,
430.61,0.234672581,
430.82,0.234951258,
431.03,0.234944816,
431.24,0.235143822,
431.45,0.235264176,
431.66,0.235349948,
431.87,0.235733722,
432.09,0.235881536,
432.3,0.236197166,
432.51,0.236352439,
432.72,0.236561277,
432.93,0.236846056,
433.14,0.237007092,
433.35,0.237255595,
433.56,0.237491894,
433.77,0.237874312,
433.98,0.237885839,
434.19,0.238183162,
434.4,0.238412002,
434.61,0.238756788,
434.83,0.238697798,
435.04,0.238883244,
435.25,0.239149377,
435.46,0.239260576,
435.67,0.239519928,
435.88,0.23972063,
436.09,0.239767076,
436.3,0.239787417,
436.51,0.239846746,
436.72,0.240048126,
436.93,0.240061348,
437.14,0.24021662,
437.35,0.240310869,
437.56,0.240315276,
437.77,0.240375961,
437.98,0.240729562,
438.2,0.240855339,
438.41,0.240828895,
438.62,0.240880427,
438.83,0.241139101,
439.04,0.241196057,
439.25,0.241345566,
439.46,0.241481175,
439.67,0.241521858,
439.88,0.241657467,
440.09,0.241825961,
440.3,0.241853761,
440.51,0.241827656,
440.72,0.241824605,
440.93,0.241916141,
441.14,0.242041241,
441.35,0.242078194,
441.56,0.242107011,
441.77,0.242222279,
441.98,0.242287371,
442.19,0.242388739,
442.4,0.242527399,
442.61,0.242705386,
442.82,0.24275285,
443.03,0.242769123,
443.25,0.242803364,
443.46,0.242793193,
443.67,0.242886425,
443.88,0.242883712,
444.09,0.242892866,
444.3,0.242812518,
444.51,0.242800313,
444.72,0.242866083,
444.93,0.242991522,
445.14,0.243064751,
445.35,0.243014236,
445.56,0.243076277,
445.77,0.243263757,
445.98,0.243310542,
446.19,0.243305457,
446.4,0.243388517,
446.61,0.243419707,
446.82,0.243323764,
447.03,0.243286132,
447.24,0.243233584,
447.45,0.243473273,
447.66,0.243529212,
447.87,0.243597694,
448.08,0.243659057,
448.29,0.243621087,
448.5,0.243452254,
448.71,0.243485139,
448.92,0.243714996,
449.13,0.24373093,
449.34,0.243608882,
449.55,0.243650243,
449.76,0.24365126,
449.97,0.243577692,
450.18,0.243569894,
450.39,0.24357498,
450.6,0.243423098,
450.81,0.243352242,
451.02,0.24339089,
451.23,0.243486834,
451.44,0.243493953,
451.65,0.243572607,
451.86,0.243614984,
452.07,0.243700079,
452.28,0.243773308,
452.49,0.243799413,
452.7,0.243663465,
452.91,0.243639394,
453.12,0.243605492,
453.33,0.243554977,
453.54,0.243648887,
453.75,0.243583794,
453.96,0.243617697,
454.17,0.243533958,
454.38,0.243493275,
454.59,0.24346039,
454.79,0.243519719,
455,0.243353937,
455.21,0.243376651,
455.42,0.243295625,
455.63,0.24325935,
455.84,0.243241381,
456.05,0.243144421,
456.26,0.243141031,
456.47,0.243143404,
456.68,0.243011185,
456.89,0.243072209,
457.1,0.243023729,
457.31,0.243084075,
457.52,0.243117638,
457.73,0.243115265,
457.94,0.243058309,
458.15,0.243108823,
458.36,0.243194935,
458.57,0.243100009,
458.78,0.242966095,
458.99,0.242958636,
459.2,0.242936939,
459.41,0.242958297,
459.62,0.242859303,
459.83,0.242848454,
460.03,0.242860659,
460.24,0.242796923,
460.45,0.242832859,
460.66,0.242830486,
460.87,0.242673179,
461.08,0.242625716,
461.29,0.242599611,
461.5,0.242533163,
461.71,0.242460273,
461.92,0.242329071,
462.13,0.242375517,
462.34,0.242319239,
462.55,0.242262962,
462.76,0.242201599,
462.97,0.242185664,
463.18,0.242135828,
463.38,0.241989031,
463.59,0.241967334,
463.8,0.241945975,
464.01,0.24186461,
464.22,0.241805281,
464.43,0.241801213,
464.64,0.241785618,
464.85,0.241732391,
465.06,0.241801891,
465.27,0.241827317,
465.48,0.241794093,
465.69,0.241697472,
465.89,0.241696794,
466.1,0.241724254,
466.31,0.241765954,
466.52,0.241720186,
466.73,0.241704252,
466.94,0.241791381,
467.15,0.24175714,
467.36,0.241748664,
467.57,0.241815452,
467.78,0.241882239,
467.99,0.241851388,
468.19,0.241740528,
468.4,0.24180562,
468.61,0.241737815,
468.82,0.241661196,
469.03,0.241526604,
469.24,0.241597121,
469.45,0.241523214,
469.66,0.241396758,
469.87,0.2414866,
470.08,0.241570677,
470.28,0.241592036,
470.49,0.241570677,
470.7,0.24158356,
470.91,0.241608987,
471.12,0.241653399,
471.33,0.241758157,
471.54,0.241748325,
471.75,0.241742223,
471.96,0.241693742,
472.16,0.241688996,
472.37,0.241690691,
472.58,0.24173273,
472.79,0.241824944,
473,0.2418541,
473.21,0.241855456,
473.42,0.241950383,
473.63,0.241996829,
473.84,0.242044631,
474.04,0.242137862,
474.25,0.242162611,
474.46,0.242210413,
474.67,0.242186003,
474.88,0.242302288,
475.09,0.242428066,
475.3,0.242512482,
475.5,0.242595882,
475.71,0.242730813,
475.92,0.242819298,
476.13,0.242958975,
476.34,0.243062716,
476.55,0.243158321,
476.76,0.243300032,
476.96,0.243428522,
477.17,0.243551926,
477.38,0.243674313,
477.59,0.243778393,
477.8,0.243959093,
478.01,0.244088599,
478.22,0.244233362,
478.42,0.24439711,
478.63,0.244530007,
478.84,0.244719521,
479.05,0.244875471,
479.26,0.244996841,
479.47,0.245134146,
479.68,0.245300945,
479.88,0.245445707,
480.09,0.245620982,
480.3,0.245821684,
480.51,0.245968481,
480.72,0.246170538,
480.93,0.246334286,
481.13,0.246503798,
481.34,0.246683141,
481.55,0.246926898,
481.76,0.247152009,
481.97,0.247378476,
482.18,0.247622234,
482.38,0.247844294,
482.59,0.248096188,
482.8,0.248309772,
483.01,0.248572854,
483.22,0.248811187,
483.43,0.249071556,
483.63,0.249340401,
483.84,0.249629927,
484.05,0.249893008,
484.26,0.250199824,
484.47,0.250459854,
484.68,0.250801589,
484.88,0.251136883,
485.09,0.251442003,
485.3,0.251771194,
485.51,0.252124456,
485.72,0.252370587,
485.92,0.252711305,
486.13,0.253023205,
486.34,0.253404945,
486.55,0.253720236,
486.76,0.25403824,
486.96,0.254287082,
487.17,0.254566776,
487.38,0.254875626,
487.59,0.255158032,
487.8,0.255508242,
488,0.255865911,
488.21,0.256229344,
488.42,0.256584301,
488.63,0.25690027,
488.84,0.257231834,
489.04,0.257549499,
489.25,0.257888182,
489.46,0.258246529,
489.67,0.258689632,
489.88,0.259038487,
490.08,0.25942938,
490.29,0.259837224,
490.5,0.260196927,
490.71,0.260553918,
490.92,0.26089667,
491.12,0.261293666,
491.33,0.26172931,
491.54,0.262125289,
491.75,0.26260026,
491.95,0.263040311,
492.16,0.263504773,
492.37,0.263930246,
492.58,0.264413693,
492.79,0.264862898,
492.99,0.265335835,
493.2,0.265780632,
493.41,0.26622204,
493.62,0.266657684,
493.82,0.267116043,
494.03,0.267565248,
494.24,0.267997163,
494.45,0.268458573,
494.65,0.268922695,
494.86,0.269353593,
495.07,0.269782796,
495.28,0.270215389,
495.49,0.270635439,
495.69,0.271071422,
495.9,0.271512151,
496.11,0.271974579,
496.32,0.27242514,
496.52,0.272878752,
496.73,0.273280155,
496.94,0.273766653,
497.15,0.274196195,
497.35,0.274640993,
497.56,0.275061381,
497.77,0.27551974,
497.98,0.276055057,
498.18,0.276580203,
498.39,0.277067379,
498.6,0.277552181,
498.81,0.278026135,
499.01,0.278488562,
499.22,0.279001843,
499.43,0.279499528,
499.64,0.279965684,
499.84,0.280492526,
500.05,0.280975633,
500.26,0.281474336,
500.46,0.281955748,
500.67,0.282403597,
500.88,0.282848734,
501.09,0.283324383,
501.29,0.283830205,
501.5,0.284301447,
501.71,0.284797098,
501.92,0.28530631,
502.12,0.285788739,
502.33,0.286244725,
502.54,0.286708847,
502.74,0.287154662,
502.95,0.287636075,
503.16,0.288098163,
503.37,0.288595848,
503.57,0.289022339,
503.78,0.289525787,
503.99,0.289982112,
504.19,0.290422842,
504.4,0.290865266,
504.61,0.291331084,
504.82,0.291775882,
505.02,0.292260345,
505.23,0.292694294,
505.44,0.293148585,
505.64,0.293601858,
505.85,0.294061573,
506.06,0.294535866,
506.27,0.295011176,
506.47,0.295470213,
506.68,0.295902806,
506.89,0.296345231,
507.09,0.296760194,
507.3,0.297207705,
507.51,0.297648434,
507.71,0.298096961,
507.92,0.298570915,
508.13,0.299056735,
508.33,0.299538825,
508.54,0.299994133,
508.75,0.300472833,
508.96,0.30092814,
509.16,0.301411248,
509.37,0.301919104,
509.58,0.302391702,
509.78,0.302892438,
509.99,0.303420975,
510.2,0.303819666,
510.4,0.304349558,
510.61,0.304869619,
510.82,0.305340522,
511.02,0.3058338,
511.23,0.306394544,
511.44,0.306937997,
511.64,0.307480434,
511.85,0.307976424,
512.06,0.308512758,
512.26,0.309011799,
512.47,0.309517282,
512.68,0.310033614,
512.88,0.310537741,
513.09,0.310995422,
513.3,0.311550402,
513.5,0.31203317,
513.71,0.312487122,
513.92,0.312967178,
514.12,0.313502834,
514.33,0.314042558,
514.54,0.314584995,
514.74,0.315146417,
514.95,0.315704109,
515.16,0.316244511,
515.36,0.316777455,
515.57,0.317359218,
515.78,0.317946067,
515.98,0.318547493,
516.19,0.319053654,
516.4,0.319576766,
516.6,0.320103268,
516.81,0.320691134,
517.01,0.321275609,
517.22,0.321889918,
517.43,0.322508296,
517.63,0.323162271,
517.84,0.323823365,
518.05,0.324412587,
518.25,0.325035711,
518.46,0.325584928,
518.67,0.326190761,
518.87,0.326827446,
519.08,0.327387512,
519.28,0.327975038,
519.49,0.328493404,
519.7,0.329044655,
519.9,0.329528102,
520.11,0.330054943,
520.32,0.330619077,
520.52,0.331168633,
520.73,0.331719545,
520.93,0.332301647,
521.14,0.332884766,
521.35,0.333472293,
521.55,0.334093721,
521.76,0.334674467,
521.96,0.335223006,
522.17,0.335784767,
522.38,0.336326864,
522.58,0.33686591,
522.79,0.337479881,
523,0.3380769,
523.2,0.338676631,
523.41,0.339330945,
523.61,0.339909657,
523.82,0.340479893,
524.03,0.341087422,
524.23,0.3416224,
524.44,0.342218402,
524.64,0.342817455,
524.85,0.343436172,
525.06,0.344042006,
525.26,0.344680385,
525.47,0.345264861,
525.67,0.345852726,
525.88,0.346467035,
526.09,0.347050833,
526.29,0.347624798,
526.5,0.34822419,
526.7,0.348802224,
526.91,0.349336863,
527.11,0.349890487,
527.32,0.350435636,
527.53,0.351016721,
527.73,0.351550343,
527.94,0.352121257,
528.14,0.352742008,
528.35,0.353296988,
528.56,0.353857732,
528.76,0.354435766,
528.97,0.355030412,
529.17,0.355601326,
529.38,0.356192243,
529.58,0.35686622,
529.79,0.357441881,
530,0.358061953,
530.2,0.358650836,
530.41,0.359251923,
530.61,0.359953361,
530.82,0.360528683,
531.02,0.361127058,
531.23,0.361747131,
531.43,0.362344489,
531.64,0.362893706,
531.85,0.363462247,
532.05,0.363975867,
532.26,0.364558647,
532.46,0.36514041,
532.67,0.3656642,
532.87,0.366223588,
533.08,0.366754836,
533.28,0.367325751,
533.49,0.36790548,
533.7,0.368437406,
533.9,0.368932719,
534.11,0.369537535,
534.31,0.370095906,
534.52,0.370640715,
534.72,0.371206205,
534.93,0.371778476,
535.13,0.372322268,
535.34,0.372889792,
535.54,0.373474946,
535.75,0.374069931,
535.95,0.374621521,
536.16,0.375163957,
536.37,0.37570063,
536.57,0.376256288,
536.78,0.376851951,
536.98,0.3774527,
537.19,0.377987678,
537.39,0.378537234,
537.6,0.379115268,
537.8,0.379593629,
538.01,0.38008589,
538.21,0.380532383,
538.42,0.381047697,
538.62,0.381528771,
538.83,0.382045102,
539.03,0.382517022,
539.24,0.382962837,
539.44,0.383461539,
539.65,0.383996517,
539.85,0.384486405,
540.06,0.384988498,
540.26,0.385545173,
540.47,0.386096085,
540.67,0.386593432,
540.88,0.387109086,
541.08,0.387566088,
541.29,0.388020379,
541.49,0.388548237,
541.7,0.389028632,
541.9,0.38949106,
542.11,0.389974845,
542.31,0.390493211,
542.52,0.39097225,
542.72,0.391493667,
542.93,0.392056784,
543.13,0.392565996,
543.34,0.393100974,
543.54,0.393557977,
543.75,0.394003114,
543.95,0.394527243,
544.16,0.395018148,
544.36,0.395437519,
544.57,0.395960631,
544.77,0.39646069,
544.98,0.396936,
545.18,0.397392663,
545.39,0.397908317,
545.59,0.398337859,
545.8,0.398851817,
546,0.399378659,
546.21,0.399890583,
546.41,0.4004537,
546.62,0.400925281,
546.82,0.401406015,
547.03,0.401968793,
547.23,0.402492922,
547.43,0.403055022,
547.64,0.403588304,
547.84,0.404231431,
548.05,0.404764035,
548.25,0.405304777,
548.46,0.405871623,
548.66,0.406403211,
548.87,0.406959547,
549.07,0.40752063,
549.28,0.408070864,
549.48,0.40866178,
549.68,0.409178112,
549.89,0.409639861,
550.09,0.410174839,
550.3,0.410678966,
550.5,0.411202756,
550.71,0.411722139,
550.91,0.412205246,
551.12,0.412710051,
551.32,0.413190107,
551.53,0.413656603,
551.73,0.414154288,
551.93,0.414719439,
552.14,0.415274758,
552.34,0.415923309,
552.55,0.416433877,
552.75,0.417039372,
552.96,0.417657411,
553.16,0.418255108,
553.36,0.418866027,
553.57,0.419394224,
553.77,0.419933609,
553.98,0.420500116,
554.18,0.421181213,
554.39,0.421763654,
554.59,0.422342366,
554.79,0.422926163,
555,0.423433342,
555.2,0.423923229,
555.41,0.424449054,
555.61,0.424884698,
555.82,0.425390859,
556.02,0.425865491,
556.22,0.426381484,
556.43,0.426898832,
556.63,0.427485681,
556.84,0.428069139,
557.04,0.428656665,
557.24,0.429213002,
557.45,0.429781882,
557.65,0.430377545,
557.86,0.430885401,
558.06,0.431465808,
558.26,0.432104866,
558.47,0.432786641,
558.67,0.433386372,
558.88,0.434016276,
559.08,0.434613635,
559.28,0.435222858,
559.49,0.435795807,
559.69,0.436388758,
559.9,0.436959672,
560.1,0.43762314,
560.3,0.438207954,
560.51,0.438769376,
560.71,0.439367751,
560.92,0.439913239,
561.12,0.440510936,
561.32,0.441183896,
561.53,0.441780237,
561.73,0.442368102,
561.93,0.442988514,
562.14,0.44364554,
562.34,0.444239847,
562.55,0.444926368,
562.75,0.445545763,
562.95,0.44618855,
563.16,0.446797774,
563.36,0.447485312,
563.56,0.448101995,
563.77,0.448879713,
563.97,0.44954318,
564.17,0.450298862,
564.38,0.451051493,
564.58,0.451845145,
564.79,0.452518783,
564.99,0.453204965,
565.19,0.453890469,
565.4,0.454594281,
565.6,0.455238424,
565.8,0.455950372,
566.01,0.456594515,
566.21,0.457293919,
566.41,0.45790077,
566.62,0.458504569,
566.82,0.459133457,
567.02,0.459714203,
567.23,0.460308171,
567.43,0.460886882,
567.64,0.46150187,
567.84,0.462089057,
568.04,0.462578606,
568.25,0.463244108,
568.45,0.463838076,
568.65,0.464362883,
568.86,0.46503686,
569.06,0.465612521,
569.26,0.466195979,
569.47,0.466764859,
569.67,0.467280513,
569.87,0.467901264,
570.08,0.468474551,
570.28,0.469042414,
570.48,0.469608243,
570.69,0.47016797,
570.89,0.470782618,
571.09,0.471411166,
571.29,0.471996659,
571.5,0.472708268,
571.7,0.473365972,
571.9,0.473955871,
572.11,0.474548822,
572.31,0.475106515,
572.51,0.475648612,
572.72,0.476206644,
572.92,0.476695514,
573.12,0.477178961,
573.33,0.477740722,
573.53,0.478298075,
573.73,0.478882889,
573.94,0.479499911,
574.14,0.480076249,
574.34,0.480548847,
574.54,0.481066196,
574.75,0.481638127,
574.95,0.482133101,
575.15,0.482704693,
575.36,0.48328849,
575.56,0.483889578,
575.76,0.484491004,
575.97,0.485032762,
576.17,0.485576555,
576.37,0.48609865,
576.57,0.486688211,
576.78,0.487135043,
576.98,0.487614082,
577.18,0.488116175,
577.39,0.488557243,
577.59,0.489066455,
577.79,0.489509558,
577.99,0.490011312,
578.2,0.490574768,
578.4,0.491008039,
578.6,0.491417239,
578.8,0.491936283,
579.01,0.492390913,
579.21,0.492929281,
579.41,0.493427983,
579.62,0.493973132,
579.82,0.494514212,
580.02,0.495027154,
580.22,0.495504837,
580.43,0.496100839,
580.63,0.496659887,
580.83,0.497206392,
581.03,0.497790867,
581.24,0.498346526,
581.44,0.498808275,
581.64,0.499350372,
581.84,0.499814155,
582.05,0.50030506,
582.25,0.500696971,
582.45,0.501181434,
582.65,0.501543171,
582.86,0.501973052,
583.06,0.502372421,
583.26,0.502820948,
583.46,0.503218283,
583.67,0.503756651,
583.87,0.504093979,
584.07,0.504646586,
584.27,0.505079518,
584.48,0.505596528,
584.68,0.506124725,
584.88,0.506725813,
585.08,0.507265198,
585.29,0.507784242,
585.49,0.508247347,
585.69,0.508796225,
585.89,0.509313234,
586.1,0.509843466,
586.3,0.510263176,
586.5,0.510715772,
586.7,0.51123685,
586.9,0.5118298,
587.11,0.512353252,
587.31,0.512878398,
587.51,0.513438124,
587.71,0.514003614,
587.92,0.514520285,
588.12,0.515141036,
588.32,0.515659741,
588.52,0.516288628,
588.72,0.516919888,
588.93,0.517461647,
589.13,0.517981708,
589.33,0.518498039,
589.53,0.519010981,
589.73,0.519534771,
589.94,0.520051442,
590.14,0.520535905,
590.34,0.520986467,
590.54,0.521462794,
590.74,0.521888606,
590.95,0.522326624,
591.15,0.522707685,
591.35,0.523184012,
591.55,0.523493879,
591.75,0.523924777,
591.96,0.524410258,
592.16,0.52489167,
592.36,0.525407663,
592.56,0.525851782,
592.76,0.526405068,
592.96,0.526875631,
593.17,0.527349924,
593.37,0.52783337,
593.57,0.528264946,
593.77,0.528793822,
593.97,0.529291846,
594.18,0.52983869,
594.38,0.530416385,
594.58,0.530893729,
594.78,0.53140701,
594.98,0.531956226,
595.18,0.532417975,
595.39,0.532905151,
595.59,0.533335371,
595.79,0.533836786,
595.99,0.534292771,
596.19,0.534762318,
596.39,0.53525424,
596.6,0.535632928,
596.8,0.536109594,
597,0.536667626,
597.2,0.537069368,
597.4,0.537608414,
597.6,0.538114236,
597.81,0.538597683,
598.01,0.539050278,
598.21,0.539449986,
598.41,0.539957842,
598.61,0.54046502,
598.81,0.540902698,
599.01,0.541391908,
599.22,0.541823484,
599.42,0.542299133,
599.62,0.542811736,
599.82,0.543313828,
600.02,0.543806428,
600.22,0.544350221,
600.42,0.544784848,
600.63,0.545303892,
600.83,0.545778185,
601.03,0.546241968,
601.23,0.546688461,
601.43,0.547312263,
601.63,0.547830968,
601.83,0.548437819,
602.03,0.549041957,
602.24,0.549682032,
602.44,0.550195991,
602.64,0.550853356,
602.84,0.551459189,
603.04,0.552110113,
603.24,0.552663398,
603.44,0.55321804,
603.64,0.553772003,
603.85,0.554380549,
604.05,0.554833822,
604.25,0.555449149,
604.45,0.555982092,
604.65,0.556528936,
604.85,0.557103241,
605.05,0.55766534,
605.25,0.558213201,
605.45,0.558878364,
605.65,0.559500132,
605.86,0.560135799,
606.06,0.560696543,
606.26,0.561377979,
606.46,0.56204721,
606.66,0.562665248,
606.86,0.563211414,
607.06,0.563850472,
607.26,0.564442067,
607.46,0.564976027,
607.66,0.565413367,
607.86,0.566045644,
608.07,0.56657113,
608.27,0.567155944,
608.47,0.567674988,
608.67,0.568194032,
608.87,0.568670359,
609.07,0.569261953,
609.27,0.569816934,
